Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Total_IBRD_IDA_clean,Abstract
P170248,South Asia,Nepal,,Second Programmatic Energy Sector Development Policy Credit,The Energy Sector Development Policy Credit (DPC) operation aims to to support the government’s efforts to improve the financial viability and governance of the electricity sector. The programmatic DPC series has two pillars: (i) improving the financial viability of the electricity sector; and (ii) improving the governance of the electricity sector.,"Ministry of Energy, Water Resources and Irrigation",,https://projects.worldbank.org/en/projects-operations/project-detail/P170248,"July 7, 2019","June 2, 2020","June 30, 2020","June 30, 2021",BANK APPROVED,I,,0.0,100000000.0,,0.0,Nepal,,,,,,,"February 28, 2022",,"The operation is the second in a series of three Development Policy Credit operations. The Energy Sector Development Policy Credit (DPC) operations aim to support the Government of Nepal’s (GoN) efforts to improve the financial viability and governance of the electricity sector. The programmatic DPC series has two pillars: (i) improving the financial viability of the electricity sector; and (ii) improving the governance of the electricity sector. The electricity sector is one of the key drivers of Nepal’s economy and has the potential to yield large economic dividend for the country by meeting domestic demand and generating revenues through electricity trade with neighbors. A twofold to fourfold increase in investment is needed to realize the full economic potential of the electricity sector. The operation seeks to strengthen the enabling conditions for investments to meet electricity demand in a reliable and sustainable manner. It also seeks to achieve greater integration with the regional electricity market to ensure the optimal use of Nepal’s hydropower resource. IDA will provide US100 million dollars equivalent credit for the second operation in the DPC series. The operation supports the World Bank's twin goals of poverty reduction and shared prosperity and is consistent with the World Bank Group's approach to Maximizing Finance for Development (MFD) and the Country Partnership Strategy for FY2019-2023. The DPC series complements the World Bank Group’s (WBG’s) existing engagement in generation, transmission, distribution and off-grid, renewable-based solutions in the form of investment operations and technical assistance (TA). In addition, the operation has synergy with WBG’s engagement in social protection, environmental and social risk and impact management, and water resources management. The operation also leverages the work undertaken by other development partners to support electricity sector reforms in Nepal."
P168132,Western and Central Africa,Republic of Benin,,AGRICULTURAL COMPETITIVENESS AND EXPORT DIVERSIFICATION PROJECT,The project development objective (PDO) is to increase productivity and market access for selected agri-food value chains in Benin.,"Ministere de l'Agriculture, de l'Elevage et de la Peche",No,https://projects.worldbank.org/en/projects-operations/project-detail/P168132,"November 27, 2019","June 2, 2020","October 22, 2020","April 30, 2030",BANK APPROVED,I,,0.0,160000000.0,,0.0,Government of Benin,,,Substantial,,,,"November 14, 2024",,"Component 1. Strengthening the enabling environment and infrastructure for agri-food value chains development (US$35 million). Component 1 will support the Government’s ability to provide an enabling environment for competitiveness enhancement. In this way, the component seeks to: (i) strengthen the public institutions, policies, and administrative frameworks related to agribusiness development; and (ii) invest in critical public infrastructure and market information systems for the agri-food sector. First and foremost, the component will provide funding for a series of Competitiveness Reinforcement Engagements (CREs) that will support value chain development and export promotion through a structured public private dialogue. The CREs will identify necessary public services, that must be delivered to enhance value chain competitiveness for the targeted farmers. The component will support the adoption and implementation of key institutional reforms, including the enhancement of the regulatory framework to ensure food safety. The component will also finance : (i) public infrastructure, namely a cold storage freight terminal and related trade infrastructure – including equipment – at the new airport and a transitory and movable cold terminal to be built at the Cotonou airport; (ii) the establishment of an effective market information system through the collection and dissemination of market information, which would enable producers decide on the types of crops to produce, when to produce them, and where to sell them to maximize their incomes. Component 2. Increasing productivity, connectivity, value addition, and resilience (US$65 million). Component 2 will support actions to increase the productivity and competitiveness of the agri-food products, starting with pineapple and cashew nuts. The component will finance: (i) access to quality inputs, including improved seeds and planting materials to enhance productivity; (ii) the delivery of extension and other services, through public and private institutions, as needed to ensure adequate level of sustainable production with improved quality standards; and (iii) support to the local agro-processing industry for the adoption of quality and safety standards for exports markets. All activities and investments supported under the component will include risk reduction and resilience enhancements, as well as climate-smart and good environmental management practices. The component will also finance the rehabilitation of 1,200 km and the maintenance of 4,200 km of existing rural road networks to enable market connectivity and enhance access to markets for agri-food products in the project area. The rehabilitation and maintenance of rural roads in agriculture production zones in project intervention areas will complement the national rural road network rehabilitation program launched by the Government to improve connectivity and access to the main agricultural production areas in a balanced way throughout the whole country. Component 3. Promoting Private Investment and Access to Finance (US$45 million). The component will promote private sector investment all along the selected value chains, through: (i) a mechanism to support climate-smart agricultural investments, including the provision of matching grants to producers to support the rehabilitation of private small-scale irrigation scheme, and support for related business development services; and (ii) a risk sharing mechanism. The component will establish and operate a matching grant mechanism for business development by farms and agri-food SMEs for production, processing and ancillary activities including Business Development Services (BDSs). The project will provide free of charge technical assistance to eligible beneficiaries for advisory support throughout the investment cycle. This will include the preparation of sound business plans, appropriate choice of technology, and corresponding preparation for loan application if any. The component will also provide increased incentives for financial institutions to lend to private sector firms and critical service providers in the agri-food sector by sharing the burden of risk associated with private agri-food initiatives. For that purpose, the component will finance the following twin interventions: (a) risk sharing instrument to alleviate capital constraints through guarantees to support access to credit for investments to be made by producers and agribusiness SMEs to upgrade or modernize their existing production equipment and infrastructure (no new small scale irrigation scheme will be supported), as well as storage, and processing facilities; and (b) a commercial guarantee mechanism (such as a defined minimum revenue or advanced payment guarantee) meant to attract investment in critical services by mitigating commercial risk to expanded service provision mainly for specialized logistics companies such as Third-Party Logistics (3PLs) or Fourth-Party Logistics (4PLs), and other service companies. Component 4. Project Management (US$15 million). The objective of this component is to support project management. The project will fund the operation of the Project Management Unit (PMU) during the entire implementation period, so that it can carry out its project management and coordination functions, including fiduciary aspects, the implementation of the project’s safeguards policies, project monitoring and evaluation (M&E), reporting and communication activities. This will include consultant services, provision of goods and equipment, training and incremental operating costs.Component 5: Contingent Emergency Response (US$0)The CERC will be established and managed in accordance with the provisions of World Bank Policy and Bank Directive on Investment Project Financing. The project’s CERC will be triggered only when the Government has officially declared an emergency and a statement of the facts is provided justifying the request to activate the use of emergency funding. If the World Bank agrees with the determination of the disaster and associated response needs, this component allows the Government to request the World Bank to recategorize and reallocate financing from other project components to cover emergency response and recovery costs."
P151075,"Middle East, North Africa, Afghanistan, and Pakistan",Islamic Republic of Pakistan,,Pakistan Community Support Project (CASA-1000),The Project Development Objective (PDO) is to improve access to local infrastructure and strengthen community engagement in the project areas.,"Sustainable Development Unit, Planning and Development Department, Government of Khyber Pakhtunkhwa",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P151075,"February 13, 2015","June 3, 2020","July 29, 2020","September 30, 2023",BANK APPROVED,G,,,,,15000000.0,"Islamic Republic of Pakistan, Ministry of Economic Affairs",,B,,,,,"May 1, 2024",,"The developing objective of Community Support Project (CASA-1000) for Pakistan is to improve access to local infrastructure and strengthen community engagement in the project areas. This project has five components. 1) The first component, Community Outreach and Communications for CASA-1000, aims to create the conditions for a smooth construction of the CASA-1000 infrastructure and establish a two-way communication channel with the communities that may experience inconvenience but will not benefit directly from it. 2) The second component, Community Mobilization and Capacity Building, has the following subcomponents: (i) Mobilization for Implementation of Infrastructure Schemes ; and (ii) Mobilization for Citizen Engagement and Youth Inclusion. 3) The third component, Community Investments in Small Infrastructure Schemes, aims to provide subgrants for local infrastructure schemes to address local development priorities identified through the participatory processes. 4) The fourth component, Project Management, Implementation, and Monitoring and Evaluation, aims to finance operational expenditures and selected capital expenditures incurred by the project implementing agency for overall coordination, management, and supervision of the project activities. 5) The fifth component, Contingent Emergency Response Component (CERC), aims to potentially providing immediate response to an eligible crisis or emergency, should there be a need for emergency response during the Project implementation period."
P171006,East Asia and Pacific,Socialist Republic of Viet Nam,,Climate Change and Green Growth DPF,The program development objective (PDO) is to promote: (a) climate resilient management of landscapes; and (b) adoption of cleaner transport and energy systems.,"Ministry of Natural Resouces and Environment, Department of Climate Change",,https://projects.worldbank.org/en/projects-operations/project-detail/P171006,"June 22, 2019","June 5, 2020","June 4, 2021","November 30, 2021",BANK APPROVED,I,,0.0,84400000.0,,0.0,Socialist Republic of Vietnam,,,,,,,"July 16, 2024",,"The development objective of the Climate Change and Green Growth Development Policy Financing (DPF) for Vietnam is to promote: (a) climate resilient management of landscapes; and (b) adoption of cleaner transport and energy systems. This is a one-tranche operation, closely linked to a 2016 operation that was designed to be the first in a 3-operation DPF series. These operations support the government’s support program to respond to climate change (SP-RCC) 2016-2020, which provides policy reforms for effective implementation of climate change and green growth actions prioritized in the 2016-2020 socio-economic development plan (SEDP), national climate change strategy (NCCS) and Vietnam green growth strategy (VGGS), and nationally determined contribution (NDC). The originally conceived 3-operation World Bank DPF series focused on mainstreaming climate within general planning and budgeting processes, as well as tackling specific climate impacts and issues in key sectors. Although unable to proceed as planned, the first operation played a critical role in shaping the form and content of the policy program, and delivered results upon which the new DPF builds, whilst also strategically strengthening the foundations and providing a bridge to a new, post-2020 phase of climate action."
P170934,Western and Central Africa,Burkina Faso,,"Burkina Faso Second Fiscal Management, Sustainable Growth and Health Service Delivery Development Policy Operation",The Program Development Objective (PDO) is to support the Government's efforts to: (i) strengthen fiscal management; (ii) improve natural resources management and raise mining and livestock productivity; and (iii) improve health service delivery and social spending efficiency.,"Ministere de l'Economie, des Finances et du Developpement",,https://projects.worldbank.org/en/projects-operations/project-detail/P170934,"June 27, 2019","June 5, 2020","June 22, 2020","June 30, 2021",BANK APPROVED,I,,0.0,147950000.0,,0.0,Burkina Faso,,,,,,,"March 6, 2024",,"The Fiscal Management, Sustainable Growth and Health Service Delivery operation is the second in a programmatic series of three Development Policy Financing (DPF) operations. It is a single-tranche disbursement of IDA Credit for EUR 67.60 million (US73.975 million dollars equivalent) and IDA grant SDR 54.30 (US73.975 million dollars equivalent). The Program development objectives (PDOs) are to (i) strengthen fiscal management; (ii) improve natural resources management and raise mining and livestock productivity; and (iii) improve health service delivery and social spending efficiency. In the context of a fragile and poor country facing hard security, humanitarian and, most recently, COVID-19 shocks, the program supported by the DPF series has preserved modest but steady progress on structural reforms, while contributing to the response to the COVID-19 crisis. The series selectively addresses three binding constraints to growth of the Country Partnership Framework (CPF): scarce public resources, low agricultural and mining productivity, and inefficient health and social service delivery. These three critical areas of reform are supported by a solid macroeconomic framework and a public sector capable of creating fiscal and delivering social services to the extent of its possibilities. By creating fiscal space, providing key tools to redeploy health professionals, improving control of the distribution of medicines in COVID-19-affected areas, and setting the basis for a proper registration mechanism of indigents, including those testing positive to the virus and eligible IDPs, this DPF complements an emergency COVID-19 response investment project financing (IPF) supporting the Government’s efforts aiming to prevent, detect and respond to the threat posed by COVID-19, while strengthening national systems for public health preparedness."
P169599,Europe and Central Asia,Georgia,,Technology Transfer Pilot Project,The objective of the project is to test the potential for technology transfer (i.e. commercializing science research) in Georgia. The project will use industry best practices to detect projects with commercialization potential and approach potential investors with a view to initiating deals on behalf of Georgian research and development institutions.,Georgia's Innovation and Technology Agency,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169599,"December 19, 2018","June 9, 2020","July 27, 2020","December 20, 2021",BANK APPROVED,G,,,,,769015.0,Ministry of Economy and Sustainable Development,,,,,,,"November 27, 2023",,"The TTP will provide support in three core areas: • Commercialization support by providing advice on all steps of the technology transfer process, from disclosure submission, to technology evaluation for commercial readiness, negotiation with commercial partners and, after transaction monitoring support. The project will also provide capacity building support to GITA on financial management. • Financing of product development services for selected awardees to advance commercialization transactions that still need proof of commercial readiness. These services will include legal services , commercial services and technical services like industrial testing, etc. • Financing of technical services for selected awardees to connect prospective researchers with industrial partners looking for relevant technologies. Specifically, the project will deploy services to facilitate deals between the industry and the R&D sector in Georgia. These services will include contract research, service contracts, business intelligence, and support in preparing project proposals for other donor programs. This project will be executed by GITA (with technical assistance provided by the World Bank under a Bank-executed component on capacity building for GITA). Expected results include the establishment of a Technology Transfer Pilot Project, deployment of multiple service lines, and the initiation of technology transfer transactions."
P169150,Europe and Central Asia,Republic of Kosovo,,Fostering and Leveraging Opportunities for Water Security Program,"The proposed project development objective is to: (i) strengthen national capacity for managing water security, and (ii) improve water security in Morava e Binces basin.","Ministry of Environment, Spatial Planning and Infrastructure",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P169150,"May 17, 2019","June 9, 2020","March 1, 2022","November 30, 2025",BANK APPROVED,I,,0.0,27400000.0,,2180000.0,"Ministry of Finance, Labor and Transfers",,,Substantial,,,,"March 18, 2024",,"The development objective of the Fostering and Leveraging Opportunities for Water Security (FLOWS) Program Project for Kosovo is to: (i) strengthen national capacity for managing water security, and (ii) improve water security in Morava e Binces basin. The project comprises of three components. The first component, foundational measures for water security will build the foundations for water security in the country, thereby increasing targeted communities’ resilience to the climate change-induced threat of droughts and build readiness for major investments that duly consider current and foreseen climate change impacts. It consists of following sub-components: (i) strengthening national water resources investment planning; (ii) enhancing information services for water management; and (iii) enhancing regulation of dam operation and safety. The second component, addressing water crisis with catalytic investments aims to catalyze water security investments in the Morava e Binces basin that address the immediate challenges of water shortage and other risks exacerbated by climate change (erosion, rising temperatures, evapotranspiration rates, and so on), poor service delivery, and a single-sector approach to cross-cutting water security issues while embarking on an integrated water security agenda. It consists of following sub-components: (i) preparation of FLOWS investments; (ii) investments in water infrastructure and services addressing the water crisis; and (iii) people-centered water stewardship investments. The third component, project management will provide funding to contract professional and support staff to strengthen the project management team (PMT) to be established in the ministry of infrastructure and environment (MIE), facilitate its operations, and ensure that certain specialized tasks are professionally executed by people with the required background and knowledge, including professional staff, short-term experts, and support staff."
P171646,Western and Central Africa,Republic of Chad,,Chad Local Development and Adaptation Project,"The project aims to support local inclusive development through, enhanced natural resources management, provision of basic water and sanitation services and increasing income generating opportunities.","Ministry of Envrionment, Water and Fisheries",,https://projects.worldbank.org/en/projects-operations/project-detail/P171646,"October 22, 2019","June 12, 2020",,"October 31, 2025",BANK APPROVED,O,,,,,4450170.0,Republic of Chad,,,,,,,"June 4, 2024",,
P171611,Western and Central Africa,Republic of Chad,,Chad Local Development and Adaptation Project,The project development objective is to improve the management of natural resources and the livelihood of populations in selected climate vulnerable areas in and around the Ouadi Rime and Ouadi Achim (OROA) reserve in Chad?.,"Ministry of Envrionment, Water and Fisheries",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171611,"October 17, 2019","June 12, 2020","September 22, 2020","October 31, 2025",BANK APPROVED,I,,0.0,50000000.0,,0.0,Republic of Chad,,,Moderate,,,,"March 21, 2024",,"The project will support activities that: (i) strengthen the resilience of community livelihoods around protected areas in the Chadian Sahelo-Saharan savannah; (ii) promote sustainable and integrated agro-sylvo-pastoral production systems; (iii) improve access to drinkable water and sanitation services; and (iv) support activities that will generate income for communities in the hotspots area. Conserving biodiversity and reducing the impact of climate change will guide these objectives.It will address the following constraints and issues: (a) the lack of sound practices in using natural resources sustainably; (b) the limited livelihood options of the most vulnerable communities including lack of access to water; (c) the vulnerability of communities to climatic shocks; and (d) the inadequate management of protected areas.It comprises four components:• Component 1. Sustainable Natural Resources Management and Protected Areas: This component aims to support the improved management of Ouadi Rime Ouadi Achim reserve as well as support national effort to fight against poaching and promote conservation of biodiversity. Main activities include (a) developing basic infrastructure and strengthening capacity, (b) regional dialogue to protect biodiversity and ecosystem services; (c) community participation in sustainable natural resources management including the establishment of local community management committees; (d) and citizen engagement and capacity building.• Component 2. Promote Sustainable Natural Resources’ Management and Conserve Protected Areas: Under this component, the project supports the creation of necessary conditions for communities in the hotspots area facing climatic impact to strengthen their resilience through (i) income generating activities and integrated agriculture production, and (ii) water supply and sanitation. In the face of increasing pressures from an inflow of refugees over the Eastern border of Chad the project will extend measures to increase resilience in and around certain refugee camps in Wadi Fira, East of OROA, that are facing water stress and degraded natural resources.• Component 3. Project Management, Coordination, and Monitoring: This component would finance the operational costs of the Project Implementation Unit.• Component 4. Contingency Emergency Response Component (CERC): This zero-funded component will allow the governments to quickly mobilize funds in the event of an emergency that will require immediate recovery and reconstruction response."
P169901,Latin America and Caribbean,Republic of Honduras,,Water Security in the Dry Corridor of Honduras,To improve water service delivery and strengthen water governance in selected areas of the Dry Corridor of Honduras.,Secretaría de Agricultura y Ganandería,No,https://projects.worldbank.org/en/projects-operations/project-detail/P169901,"January 29, 2019","June 12, 2020","August 11, 2021","November 30, 2027",BANK APPROVED,I,,0.0,63000000.0,,0.0,Republic of Honduras,,,Substantial,,,,"June 17, 2024",,"Water security faces the following binding constraints: (i) limited water resources management (WRM) information and planning tools; (ii) weak institutional structures and undefined/unclear roles and responsibilities in WRM; (iii) lack of capacity to plan priority infrastructure investments; (iv) depletion of water resources due to contamination of surface water resources and saline intrusion in aquifers; and (v) insufficient hydraulic infrastructure and/or poor maintenance of the existing one. The proposed Project is in line with the GoH’ vision and with the focus areas of the FY16–FY20 World Bank Group’s Honduras Country Partnership Framework (CPF) through: (i) fostering inclusion; (ii) bolstering conditions for growth; and (iii) reducing vulnerabilities to climate change with a view to enhancing resilience. The overall cost of the proposed Project is US$85.0 million, financed by an IDA credit of US$70.0 million and an indicative US$15.0 million in counterpart funding from the central government, to be implemented over a 5-year period (2021–26). Component 1: Strengthening institutional capacity for water resources governance and management (total cost US$6 million). The objectives of this component are (i) to strengthen the hydromet network, water resources information systems, and capacity development; and (ii) to develop basic instruments and tools necessary for transparent WRM and better water governance. Subcomponent 1.1: Strengthening water resources information. This subcomponent will finance, among others: (i) rehabilitation and acquisition of hydroclimatic stations, water monitoring equipment and data centers as well as O&M information platforms and plans to support the network; and (ii) capacity development for technical staff and participating communities on integrated water resources management (IWRM). This subcomponent will be implemented through: (i) TA for the development of information systems and capacity building; and (ii) the acquisition of equipment and minor civil works. Subcomponent 1.2: Water governance and capacity building. This subcomponent will support a shift toward an integrated and participatory planning and water management approach through institutional strengthening and coordination, following a bottom-up approach. This subcomponent will finance mainly TA activities for: a) supporting the elaboration of watershed management and protection plans, and formal designation (through legislation) of water-producing zones, focusing on the areas targeted through subcomponent 2.1; (b) strengthening the coordination between municipalities, water/irrigation organizations and upstream stakeholders; (c) supporting the establishment of a water basin board for the Nacaome Basin and the developing a road map for the establishment of the National Water Authority (ADA). Component 2: Scaling up resilient hydraulic infrastructure for water security in the Dry Corridor (total cost US$70 million). This component aims to implement prioritized infrastructure projects for resilient water management. Subcomponent 2.1: Promoting an integrated and multipurpose micro-watershed management approach in the Dry Corridor. This subcomponent will finance consulting services, goods, and works necessary to promote the adoption of a micro catchment approach to the planning and development of integrated water security systems (SIAS) to improve watershed management at the local level. Among others, this subcomponent will finance: (i) the development and construction of the SIAS; (ii) the design, environmental and social assessment and planning, and supervision of construction works; (iii) TA for training of the Project beneficiaries on O&M and agriculture aspects, as well as to support development and implementation of upstream catchment protection and management programs. The integrated water security systems will include: for all systems, regardless of their purpose, water storage and protection of the upstream catchment area; for rural water supply systems, a water treatment plant (WTP) a distribution system, and sanitation units (co-financed by the communities); for irrigation systems, a distribution system, agriculture equipment, and a drip irrigation system; for urban water supply systems, the expansion and/or rehabilitation of bulk water systems. A total of four SIAS already have well-advanced designs. The design of the other SIAS as well as related infrastructure works from existing ones, particularly infrastructure aimed at resolving tensions derived from the competition over the use of water, will be further explored and prioritized provided that funds are available through the Project or counterpart funding. Subcomponent 2.2: Maximizing the benefits of the multipurpose Jose Cecilio del Valle (JCV) Dam in the Nacaome Basin. This subcomponent will finance infrastructure modernization in the Nacaome Basin—the JCV Dam including: (i) the installation of gates on the JCV Dam spillway to increase storage, improve reservoir operation, and increase energy generation; (ii) a water treatment plant and dedicated pipeline to increase water quality and supply for downstream users. Towards these ends, this subcomponent will finance the following: (a) consultancy services for (i) feasibility studies, technical designs, and preparation of bidding documents for construction and supervision; (ii) an environmental and social impact assessment study (ESIA); (iii) resettlement action plans, as needed (RAPs); (iv) the creation of a panel of experts on dam safety issues (to consist of a hydrology and hydraulics specialist, concrete dam specialist and hydromechanical equipment specialist) for reviewing the studies and designs for the JCV dam and the SIAS as applicable; (b) the supply and installation of the spillway gates; and (c) the construction of the water supply system. The subcomponent will also finance implementation of associated environmental and social mitigation and management plans as recommended by the ESIA study. This is expected to include, among other aspects, a watershed management plan to support landowners in the catchment of the dam in restoration, reforestation and sustainable land use management practices. Regarding dam safety, this subcomponent will finance improvements in the JCV Dam safety plan—more specifically, the preparation/completion of specific O&M manuals for a monitoring plan, a publicly approved emergency preparedness plan (EPP), and an emergency action plan (EAP) for high spillway discharge and dam break contingencies to warn the population and implement partial or full evacuation, as necessary. The EPP will include a dam break analysis as well as the definition of security areas around the reservoir, the dam itself, and individual structures. Dam safety aspects for the SIAS will be addressed in the respective ESIAs and will also be reviewed by the panel of experts. Component 3: Project management and M&E (total cost US$9 million). This component will finance various aspects related to project coordination and management, including environmental and social risk management, training and capacity building; stakeholder outreach for awareness on the project and citizen engagement mechanism and grievance management system; and other Project-related strategic studies to contribute towards for future project preparation. Component 4: Contingent Emergency Response (CER) (US$0 million). This component will provide immediate response to eligible emergencies, if and when necessary, through the reallocation of Project funds."
P174170,"Middle East, North Africa, Afghanistan, and Pakistan",Republic of Yemen,,Yemen Desert Locust Response Project,"The Project Development Objectives are to control the desert locust outbreak, support livelihoods in locust-affected areas and strengthen Yemen’s preparedness for future locust infestations.",Food and Agriculture Organization (FAO),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174170,"May 21, 2020","June 17, 2020","July 14, 2020","December 27, 2024",BANK APPROVED,I,,0.0,25000000.0,,0.0,Food and Agriculture Organization (FAO),,,Substantial,,,,"April 29, 2024",,"The objectives of the Desert Locust Response Project for Yemen are to control the desert locust outbreak, support livelihoods in locust-affected areas and strengthen Yemen’s preparedness for future locust infestations. The Project has four components. 1. Surveillance and Control Measures component’s objective is to limit the growth and spread of current desert locust populations. This component has three sub-components. 1.1. Continuous surveillance sub-component will provide early warning of locust outbreaks, inform effective control operations, and mobilize assistance for affected and at-risk communities. Activities under the 1.2 Control measures sub-component aim to reduce locust populations and prevent their spread to new areas. It will emphasize neutralizing hopper bands using bio-pesticides before they develop into adult swarms, the control of which requires extensive use of conventional pesticides. 1.3. Risk reduction and management sub-component will monitor and assess environmental and human health risks associated with locust control and to implement health, environmental, and safety measures to reduce risks to an acceptable minimum. 2. Livelihood Protection and Rehabilitation component is designed to provide a robust protection response that ensures immediate relief to affected farmers and livestock owners and build their resilience to climate-induced locust infestation. 2.1. Safeguarding food security and protecting human capital for enhanced resilience sub-component aims to provide immediate Cash for Work (CfW) support to selected beneficiaries in locust-affected areas. These beneficiaries are expected to be primarily women, as well as agricultural laborers, tenant farmers, and sharecroppers. 2.2. Rehabilitating agricultural and pastoral livelihoods sub-component focuses on the longer-term restoration of livelihoods by providing targeted support to restore the assets of farmers and livestock owners affected by locust infestations and train primary producers to restart production based on more resilient practices. 3. Coordination and Early Warning Preparedness component will strengthen the national capacity for early warning and early response, linking these efforts to regional locust surveillance and control networks thereby enhancing climate resilience. 3.1. Improving the infrastructure and institutional capacity of the national locust control centers sub-component will build a network of DLCCs as follows: (i) establish a new Central Desert Locust Control Center (CDLCC) in Aden and three regional hub centers in Hodeidah, Shabwa and Sieun, as well as (ii) rehabilitate the infrastructure and operational capacity of the Desert Locust Control Centers (DLCCs) in Sanaa and Hodeidah, which have been severely affected by the ongoing crisis. The new centers will be built on land that belongs to the Government of Yemen. 3.2. Early warning preparedness sub-component will finance the design, testing, and deployment of a Desert Locust Early Response System (DLERS) throughout the DLCC network. Early warning systems will be developed and implemented to support prevention and rapid response to current and new climate-change-induced locust infestations, thereby limiting their spread and intensification within Yemen and across bordering nations. 4. Project Management and Knowledge Management component will cover FAO costs associated with project management, such as implementation support, financial management, procurement, monitoring the project environmental and social aspects, and overall monitoring and evaluation (M&E)."
P169498,Western and Central Africa,Republic of Sierra Leone,,Third Productivity and Transparency Support Grant,The main objective of the DPO is to achieve sustainable and inclusive economic development by: (i) creating the conditions for increased productivity in selected economic sectors and (ii) improving transparency in selected government decision making processes.,"Ministry of Agriculture and Forestry,Ministry of Fisheries and Marine Resources,Anti Corruption Commission,Teaching Service Commission,Ministry of Finance,Ministry of Lands Housing and Country Planning",,https://projects.worldbank.org/en/projects-operations/project-detail/P169498,"February 18, 2020","June 17, 2020","July 3, 2020","December 31, 2020",BANK APPROVED,I,,0.0,100000000.0,,0.0,Republic of Sierra Leone,,,,,,,"August 31, 2023",,"The development objective of Third Productivity and Transparency Support Development Policy Financing for Sierra Leone is to achieve sustainable and inclusive economic development by: (i) creating the conditions for increased productivity in selected economic sectors; and (ii) improving transparency in selected government decision making processes. It is central to the World Bank’s country engagement around priorities for unlocking growth as articulated in the 2018 Systematic Country Diagnostic (SCD). The global outbreak of the Coronavirus in March 2020 and its subsequent spread to Sierra Leone will have considerable adverse health and economic implications for the country. The operation will therefore help provide the much-needed fiscal space for the government to respond to the outbreak and mitigate the economic and health impacts of the crisis. To support the government in its efforts to achieve stable and inclusive growth, the operation focuses on two primary areas/pillars: (i) creating the conditions for increased productivity in selected economic sectors; and (ii) improving transparency in selected government decision making processes. Under these two broad pillars, the operation supports ongoing reforms to increase agricultural productivity and government transparency and accountability. Specifically, on governance, the program supports the authorities’ efforts to strengthen economic and political governance, build local capacity, promote transparency in the mining sector, and build an effective asset disclosure system to fight corruption and promote public sector accountability. The immediate liquidity provided by this operation will provide the government with the fiscal space needed to respond to the ongoing Coronavirus (COVID-19) pandemic."
P173746,East Asia and Pacific,People's Republic of China,,"China Emerging Infectious Diseases Prevention, Preparedness and Response Project",The proposed project development objective is to strengthen selected national and provincial systems to pilot a multi-sectoral approach for reducing the risk of zoonotic and other emerging health threats.,"Jiangxi Provincial Department of Finance,Hainan Provincial Development Reform Commission,Ministry of Agriculture and Rural Affairs",No,https://projects.worldbank.org/en/projects-operations/project-detail/P173746,"June 2, 2020","June 18, 2020","August 31, 2022","December 31, 2027",BANK APPROVED,I,,281000000.0,0.0,,0.0,People's Republic of China,,,Substantial,,,,"October 16, 2023",,"The project will support a policy shift from response to prevention and risk management through investments in surveillance, laboratory investigation, human resource development, and the promotion of good practices in areas such as disease reporting e.g., through the Global Public Health Intelligence Network (GPHIN), information sharing, animal husbandry as well as wildlife management."
